pa-tê	(dtừ) terrine.
phong trào diệt giặc	() enemy annihilation movement.
phong trào du học	() movement for study abroad.
phong trào đấu tranh	() struggle movement.
phong trào đòi bình đẳng cho phụ nữ	() xem phong trào giải phóng phụ nữ.
phong trào đòi bình quyền cho phụ nữ	(dtừ) feminism.
phong trào đông du	() go east movement (a vietnamese patriotic movement in the early 20th century).
phong trào độc lập kinh tế	() movement for the construction of independent economy.
phong trào giải phóng dân tộc	() national liberation movement.
phong trào giải phóng phụ nữ	() movement for women's liberation.
phong trào giải phóng phụ nữ	() women's liberation movement.
phong trào giải phóng phụ nữ	() feminism.
phong trào hiến chương	(dtừ) chartism.
phong trào hòa bình thế giới	() world peace movement.
phong trào học tập	() study movement.
phong trào kháng chiến	() resistance movement.
phong trào kháng chiến	() resistance.
phong trào liên bang	(dtừ) federalism.
phong trào ngầm	(dtừ) undercurrent.
phong trào phê-ni-an	(dtừ) fenianism.
phong trào phi liên kết	() non-aligned movement.
phong trào quần chúng	() movement of the masses.
phong trào quần chúng	() mass movement.
phong trào quần chúng bảo vệ an ninh tổ quốc	() mass movement for defending national security.
phong trào thi đua	() emulation movement.
phong trào thi đua năng suất cao	(dtừ) stakhanovism.
phong trào thiếu phối hợp	(dtừ) stampede.
phong trào tự phát	(dtừ) stampede.
phong trào văn thân	() movement of the literary gentry.
phong trào yêu nước sin-phen	(dtừ) sinn fein.
phong trắc đạc	() anemometry.
phong trần	() wind and dust.
phong trần	() (nghĩa bóng) the ups and downs/trials and tribulations/vicissitudes of life.
phong trần	() (nghĩa bóng) seasoned.
phong tục	() custom.
phong tục đời xưa	(dtừ) antiquity.
phong tục học	() ethology.
phong tục mượn	(dtừ) loan.
phong tục nước ngoài	(dtừ) foreignism.
phong tục tập quán	() manners and customs.
phong tục tập quán dân tộc	(dtừ) folk-custom.
phong tục tập quán địa phương	(dtừ) localism.
phong tục tập quán xen-tơ	(dtừ) celticism.
phong tư	() (từ cũ) figure, carriage, bearing.
phong tước	() confer a title (on somebody).
phong tước hiệp sĩ	(dtừ) dubbing.
phong tước hiệp sĩ	(ngđtừ) dub.
phong tức	() be well off.
phong văn	((từ cũ) get wind (of something)) rumour, hearsay.
phong vân	() wind and clouds.
phong vân	() piece of luck, favorable opportunity.
phong vân	() good luck.
phong vân	() success.
phong vân	() strocke of/piece of fuck.
phong vận	() elegant, refined, graceful.
phong vị	() charm, flavour.
phong vũ áp	() barometric pressure.
phong vũ biểu	() xem khí áp kế.
phong vũ ký	() barograph.
phong vương	() to confer kingship on somebody.
phong xa	() windmill.
phó	() second-in-command.
phó	() assistant.
phó	() deputy.
phó	() vice-.
phó ban an ninh	() deputy chief of security section.
phó bản	() copy, duplicate.
phó bảng	((từ cũ) junior doctor) second best examinee, second roster.
phó bí thư	() deputy secretary.
phó chỉ huy	() second in command.
phó chủ bút	(dtừ) subeditor.
phó chủ giáo	(ttừ) archidiaconal.
phó chủ nhiệm	() deputy chairman.
phó chủ nhiệm	() vice-chairman.
phó chủ nhiệm	() deputy director.
phó chủ nhiệm	() deputy president.
phó chủ tịch	() vice-chairman.
phó chủ tịch	() deputy chairman.
phó chủ tịch	() vice-president.
phó chưởng án	(dtừ) vice-chancellor.
phó chưởng ấn	() vice-chancellor.
phó đại lý	(dtừ) under-agent.
phó đại sứ	() deputy ambassador.
phó đề đốc	() commodore.
phó đoàn	() deputy chief of group (delegation, etc).
phó đô đốc	() rear admiral, vice admiral.
phó đội	() deputy unit commander.
phó động từ	() co-verb, resultative verb.
phó giám đốc	() deputy manager.
phó giám đốc	() deputy director.
phó giám mục	(dtừ) archdeacon, suffragan.
phó giám mục	(ttừ) suffragan.
phó giáo sư	() reader.
phó giáo sư	() associate professor.
phó hiệu trưởng	(dtừ) subprincipal, subhead, subrector.
phó hiệu trưởng đại học	(dtừ) verger, vice-chancellor.
phó hội	() (từ cũ) attend a meeting.
phó hội trưởng	() vice president (of society).
phó khoa	() assistant dean, deputy dean.
phó kỹ sư	() assistant technician.
phó lãnh sự	() vice-consul.
phó lĩnh xướng	(dtừ) succentor.
phó lý	() deputy village headman.
phó lý	() deputy village mayjor.
phó may	() tailor.
phó mát	() (french fromage) cheese.
phó mát camembe	(dtừ) camembert.
phó mát êđam	(dtừ) edam.
phó mát gruye	(dtừ) gruyệre.
phó mát hạng tồi	(dtừ) mousetrap cheese.
phó mát pacma	(dtừ) parmesan.
phó mát rôcơfo	(dtừ) roquefort.
phó mát xtintơn	(dtừ) stilton.
phó mặc	() to give somebody full powers to do something.
phó mặc	() to leave something to somebody's discretion.
phó mặc	() to give somebody a blank cheque.
phó mặc cho	(thngữ) at the mercy of sb, to throw oneself on (upon).
phó mặc số mệnh	(thngữ) to leave to chance.
phó mộc	() carpenter.
phó nề	() a mason.
phó ngữ	() (ngôn ngữ) adverbial locution.
phó nhậm	() proceed to one's post.
phó nhượng	() abandon.
phó phẩm	() xem sản phẩm phụ.
phó phiếu	() order for payment.
phó phòng	() deputy manager (of a department).
phó phòng	() deputy chief clerk.
phó quản đốc	() deputy manager, deputy supervisor.
phó quản lý	() deputy manager.
phó quận trưởng	() deputy district chief.
phó quận trưởng	() sub - prefect.
phó rèn	() blacksmith.
phó sản	() subproduct.
phó soái	() vice-marshal.
phó sứ	() (sử học) assitant envoy.
phó sứ	() deputy resident (under french domination).
phó sứ	() vice minister, deputy provincial administrator.
phó thanh tra	() deputy inspector.
phó thanh tra	() assistant inspector.
phó thác	() to entrust.
phó thác	() to confide.
phó thác	() to commend.
phó thác cho may rủi	(ngđtừ) hazard.
phó thị trưởng	(dtừ) portreeve.
phó thống chế	() deputy marshal.
phó thống đốc	() deputy governor.
phó thống đốc bang	() lieutenant governor.
phó thống đốc bang	() lt gov.
phó thuyền trưởng	() second-in-command (of a merchant ship).
phó thủ tướng	() deputy prime minister.
phó thủ tướng	() deputy premier.
phó thủ tướng	() vice-chancellor.
phó thủy sư đô đốc	() vice-admiral.
phó thư ký	() deputy secretary.
phó thương hàn	() paratyphoid.
phó thường dân	() đùa cợt.
phó thường dân	() private citizen.
phó thự	() to countersign.
phó tiến sĩ	() ma.
phó tiến sĩ	() msc.
phó tỉnh trưởng	() lieutenant governor of a province.
phó tổng biên tập	(dtừ) sub, subeditor.
phó tổng thanh tra	() assistant inspector general.
phó tổng thống	() vice-president.
phó trợ lý	(dtừ) sub-assistant.
phó trợ tế	(dtừ) subdeacon.
phó trưởng đài	() assistant chief radio operator.
phó trưởng đồn	() assistant to town major.
phó trưởng khu cảnh sát	(ttừ) inspectorial.
phó trưởng tu viện	(dtừ) subprior.
phó tư lệnh	() deputy commander.
phó tướng	() second-in-command.
phó từ	(ttừ) - adverbial.
phó từ	(ttừ) adverbial.
phó ty	() deputy chief (of a provincial service).
phó ty	() assistant chief of department.
phó ủy viên	() deputy commissioner.
phó văn phòng	() deputy chief of the scretariat.
phó về	() send away/off.
phó về	() send back.
phó viện trưởng	() deputy rector, deputy director.
phó vương	() viceroy.
phó vương ai-cập	(dtừ) khedive.
phóc	() in one bound.
phóc	() jump (vehicle).
phócmica	(dtừ) formica.
phóng	(dtừ) throw, launch, let out, fling (at), shy (at), hurl, discharge.
phóng	(dtừ) rush/speed/tear along, move very fast in a dangerous way.
phóng	(dtừ) increase in size, enlarge, extend, blow up.
phóng ảnh	() photographic print, photogrammetry.
phóng bút	() write on impluse.
phóng cực to	() (tin học) to maximize.
phóng dật	() liberal.
phóng dục	() give vent to one's passion.
phóng đãng	() dissolute.
phóng đãng	() debauched.
phóng đãng	() profligate.
phóng đãng	() libertine.
phóng đãng trụy lạc	(ttừ) reprobate.
phóng đại	() to enlarge.
phóng đại	() to magnify.
phóng đại	() to exaggerate.
phóng đại	() to overstate, lay it on thick.
phóng đại hơn	(ngđtừ) outbid.
phóng đạt	() self-willed, wilful.
phóng đi	(dtừ) shooting.
phóng điện	() electric discharge.
phóng hoả	() to set fire to something.
phóng hoả	() to set something on fire.
phóng hoả tiễn	() launch rocket.
phóng hoạ	() caricature.
phóng khí	() relinquish.
phóng khoáng	() broad-minded.
phóng khoáng	() liberal.
phóng khúc	() rhapsody.
phóng lao	() to throw the javelin.
phóng lao phải theo lao	(tục ngữ) we have gone too far to draw back now.
phóng lao phải theo lao	(tục ngữ) in for a penny, in for a pound.
phóng lãng	() xem phóng đãng.
phóng lãng	() loose, dissipated, dissolute.
phóng lên	() blast off.
phóng loạn	() debauched.
phóng lưu	() laissez - faire.
phóng máy bay bằng máy phóng	(ngđtừ) catapult.
phóng mạnh	(dtừ) hurl.
phóng một con tàu vũ trụ	(dtừ) blast-off.
phóng ngôn	() immoderate speech.
phóng ngư lôi	() fire/launch a torpedo.
phóng ngư lôi đĩnh	() motor torpedo boat.
phóng ngư lôi hạm	() mine - layer, torpedo - boat.
phóng nhanh	() to speed along.
phóng nhiệm	() laissez - faire.
phóng nô	() free the slaves.
phóng pháo	() drop/release bombs.
phóng ra	(dtừ) discharge, projection.
phóng ra	(thngữ) to throw out.
phóng ra	(ttừ) projectile, missile.
phóng sinh	() set free (animals caught).
phóng sinh	() release, set free, set at liberty.
phóng sinh	() leave uncared for, neglect, let slide.
phóng sự	() newspaper report.
phóng sự	() reportage.
phóng sự ảnh	() photo reportage.
phóng sự ảnh	() photo report.
phóng sự điều tra	() investigative report.
phóng sự truyền hình	() television report.
phóng sự truyền hình	() tv report.
phóng sự truyền thanh	() radio report.
phóng tay	() recklessly.
phóng tay	() give vent to something.
phóng tay phát động quần chúng	() mobilize the masses (slogan used in the land reform period).
phóng tác	() to adapt.
phóng tác	() adaptation.
phóng tán	() dispersion.
phóng tên lửa lên mặt trăng	(dtừ) moonshot.
phóng thanh	() broadcast by a loudspeaker.
phóng thích	() xem trả tự do.
phóng thích không hợp pháp	(ngđtừ) rescue.
phóng thích không hợp pháp tù nhân	(dtừ) rescue.
phóng tinh	() (sinh_vật) ejaculate.
phóng tinh dịch	() to ejaculate.
phóng to	() to enlarge.
phóng to	() to zoom in on something.
phóng tới	() dash.
phóng truất	() to proscribe.
phóng trục	() to expel.
phóng trục	() to banish.
phóng túng	() loose.
phóng túng	() licentious.
phóng túng	() unbridled.
phóng túng	() rakish.
phóng túng	() libertine.
phóng túng	() (âm nhạc)(khúc phóng túng) fantasy.
phóng túng	() fantasia.
phóng túng về niêm luật	(dtừ) licence.
phóng túng về niêm luật	(ttừ) licentious.
phóng uế	() to make a mess.
phóng vệ tinh	() to launch a satellite.
phóng viên	() chronicler.
phóng viên	() legman.
phóng viên	() reporter.
phóng viên	() correspondent.
phóng viên báo chí	() newspaper reporter.
phóng viên báo chí	() press reporter.
phóng viên chiến trường	() war reporter.
phóng viên chiến trường	() war correspondent.
phóng viên ký giả	(dtừ) news-man.
phóng viên lưu động	() roving reporter.
phóng viên mặt trận	() xem phóng viên chiến trường.
phóng viên mới vào nghề	() novice reporter.
phóng viên mới vào nghề	() cub reporter.
phóng viên nghiệp dư	() stringer.
phóng viên nhà báo	(dtừ) reporter.
phóng viên nhiếp ảnh	() newspaper photographer.
phóng viên nhiếp ảnh	() press photographer.
phóng viên nhiếp ảnh	() photojournalist.
phóng viên pháp đình	() xem phóng viên toà án.
phóng viên quân sự	() war correspondent.
phóng viên tài chính-thương mại	() business correspondent.
phóng viên thể thao	() sports writer.
phóng viên thể thao	() sports reporter.
phóng viên thể thao	() sports correspondent.
phóng viên thời sự	(dtừ) chronicler.
phóng viên thường trú ở nước ngoài	() foreign correspondent.
phóng viên toà án	() court reporter.
phóng viên truyền hình	() television reporter.
phóng viên truyền hình	() tv reporter.
phóng viên truyền thanh	() radio reporter.
phóng vù vù	(nđtừ) zoom.
phóng vụt đi	(thngữ) to slip along.
phóng xạ	() radioactivity.
phóng xạ	() radioactive.
phóng xạ nguyên tử	(dtừ) fall-out.
phót	() swift, jump, spring.
phò	(đtừ) to assist.
phò	(đtừ) to support.
phò	(đtừ) to serve.
phò mã	(dtừ) prince consort.
phò mã	(dtừ) husband of a princess.
phò tá	() follow and aid, act as an aid.
phò tá	() give help, help, render assistance.
phòi	() come out.
phòi	() fall out, dropout.
phòng	() room.
phòng	() chamber.
phòng	() ward.
phòng	() office.
phòng	() bureau.
phòng	() department.
phòng	() xem phòng ngừa.
phòng ăn	() xem nhà ăn.
phòng ăn công cộng	(dtừ) eating hall.
phòng ăn lớn	(dtừ) hall.
phòng ăn nhẹ	(thngữ) lunch-room.
phòng ăn riêng	() private dining-room (trong nhà hàng).
phòng ăn tập thể	(dtừ) mess-room, mess hall.
phòng ăn thịt nướng	(dtừ) grill.
phòng ăn uống	(dtừ) refreshment room.
phòng bán đấu giá	() sale-room.
phòng bán đấu giá	() salesroom.
phòng bán đấu giá	() auction room.
phòng bán vé	(dtừ) booking-office.
phòng báo chí	() press office.
phòng bào chế	(dtừ) pharmacy.
phòng bảo vệ	() security office.
phòng bảo vệ	() guardhouse.
phòng bầu dục	() oval office.
phòng bẩn	(ttừ) anti-fouling.
phòng bếp	(dtừ) cook-room, cook-house.
phòng bệnh	() prophylactic.
phòng bệnh	() preventive.
phòng bệnh	() sick-room.
phòng bệnh dại	(ttừ) anti-rabic.
phòng bệnh hơn chữa bệnh	() prevention is better than cure.
phòng biên tập phim	(thngữ) cutting-room.
phòng binh vận	() military proselytization office.
phòng bí thư	(dtừ) secretaria.
phòng bị	() xem phòng thủ.
phòng bỏ phiếu	(dtừ) polling-booth.
phòng bọc sắt	(dtừ) strong-room.
phòng bưu điện	(dtừ) post-office.
phòng cách ly	() isolation ward.
phòng cấp cứu	() emergency ward.
phòng cấp cứu	() emergency room.
phòng cấp cứu	() first-aid ward.
phòng cấp cứu	() casualty ward.
phòng cấp cứu những người bị tai nạn	(dtừ) casualty ward.
phòng cháy chữa cháy	() to prevent and fight fire.
phòng chiêu đãi	(dtừ) guild-hall.
phòng chiếu phim	() xem khán phòng.
phòng chính trị	() political bureau.
phòng chỉ dẫn cho phi công	(dtừ) briefing-room.
phòng cho sĩ quan cấp thấp	(dtừ) gunroom.
phòng chống	() xem phòng ngừa.
phòng chống bệnh tả	(ttừ) anticholeraic.
phòng chống hơi độc	(dtừ) gas defence.
