ha	() exclamation of joy.
hoả điểm	() (quân) firing-post.
hoả đồ	() scheme of fire, fire plan.
hoả động học	() pyrodynamics.
hoả hình	() auto-da-fé.
hoả hoạn	() conflagration.
hoả hoạn	() fire.
hoả hổ	() (từ-nghĩa cổ) fire-gun.
hoả kế	() (lý) pyrometer.
hoả khí	() incendiary weapon.
hoả kích	() attack-by-fire.
hoả lò	() portable earthen stove.
hoả lực	(dtừ) fire, gun-fire, fire-power.
hoả lực bảo vệ	() covering fire.
hoả lực cận phòng	() close defensive fire.
hoả lực cận trợ	() close supporting fire.
hoả lực hội tụ	() converging fire.
hoả lực pháo binh	() artillery fire.
hoả lực phân kỳ	() diverging fire.
hoả lực phòng không	() anti-aircraft fire (power).
hoả lực súng máy	() machine-gun fire.
hoả lực yểm hộ	() supporting fire.
hoả lực yểm hộ	() support fire.
hoả mù	() smoke-bomb.
hoả mù	() smoke-screen.
hoả năng	() fire power.
hoả ngự	() (động vật học) rochet.
hoả pháo	() flare.
hoả quyển	() (địa) pyrosphere.
hoả sơn	() (từ nghĩa cũ) như hoả diệm sơn.
hoả tai	() như hoả hoạn.
hoả táng	() to incinerate.
hoả táng	() to cremate.
hoả táng	(dtừ) cremation, incineration.
hoả táng	(ngđtừ) cremate, incinerate.
hoả thạch	() silex, flint.
hoả thiêu	() to burn at the stake.
hoả thuyền	() steamship.
hoả thuyền	() steamer.
hoả tiêu	() saltpetre.
hoả tiễn	() rocket.
hoả tiễn	() missile.
hoả tiễn	() (nói chung) missilery, missilry.
hoả tiễn chiến lược	() strategic missile.
hoả tiễn chiến thuật	() tactical missile.
hoả tiễn chống chiến xa	() antitank rocket.
hoả tiễn có cánh tam giác	() delta-wing rocket.
hoả tiễn có điều khiển	() guided missile.
hoả tiễn có hai lỗ phụt	() double-nozzled rocket.
hoả tiễn điều khiển bằng lade	() laser-guided missile.
hoả tiễn điều khiển bằng rađa	() radar-guided missile.
hoả tiễn giàn mướp	() multiple rocket launchers.
hoả tiễn khí động học	() aerodynamic missile.
hoả tiễn khí tượng	() sounding rocket.
hoả tiễn không có điều khiển	() unguided missile.
hoả tiễn không đối không	() air-to-air missile.
hoả tiễn nguyên tử	() atomic rocket.
hoả tiễn phòng không	() antiaircraft missile.
hoả tiễn siêu âm	() supersonic rocket.
hoả tiễn tấn công	() offensive missile.
hoả tiễn tầm gần	() short-range missile.
hoả tiễn tầm nhiệt	() heat-seeking missile.
hoả tiễn tầm trung	() intermediate-range missile.
hoả tiễn tầm trung	() medium-range missile.
hoả tiễn tầm xa	() long-range missile.
hoả tiễn vô hình điều khiển	() guided missiles.
hoả tiễn vô tuyến điều khiển	() radio-guided missile.
hoả tiễn xuyên lục địa	() intercontinental ballistic missile (icbm).
hoả tiễn yểm trợ	() support missile.
hoả tinh	() xem sao hoả.
hoả tính	() quick temper.
hoả tốc	() express.
hoả tuyến	() firing-line.
hoả võng	() (quân sự) cross-fire.
hoả xa	() xem xe lửa.
hoả xa	() xem đường sắt.
hoảng	() panic-stricken.
hoảng	() nervous.
hoảng báo	() false alarm.
hoảng hốt	(đtừ) to panic.
hoảng hồn	() như hoảng.
hoảng kinh	() be scared, be afraid.
hoảng lên	(thngữ) to take on.
hoảng loạn	() get into a state of panic.
hoảng loạn	() hysterical.
hoảng sợ	(ttừ) filled with terror.
hoảng sợ	(ttừ) panic-stricken.
hoảnh	() xem ráo hoảnh.
hoãn	() to defer.
hoãn	() to postpone.
hoãn	() to delay.
hoãn	() to put off.
hoãn	() to suspend.
hoãn bàn về một dự luật không thời hạn	(thngữ) to lay a bill on the table.
hoãn binh	() to put off the fighting.
hoãn binh	() to postpone a battle.
hoãn binh	() (nghĩa bóng) to temporize.
hoãn binh	() to play a waiting game.
hoãn dịch	() (sự hoãn dịch) postponement of military service.
hoãn dịch	() deferment.
hoãn dự kỳ thi danh dự lại một năm	(nđtừ) degrade.
hoãn đến	() postponed until....
hoãn hẹn với	(thngữ) to put off.
hoãn họp	(dtừ) count, count-out.
hoãn họp	(thngữ) to count out.
hoãn không cho thảo luận	(đtừ) shunt.
hoãn không phải là thoát nợ	(thngữ) forbearance is no acquittance.
hoãn lại	() xem hoãn.
hoãn nhập ngũ	() xem hoãn dịch.
hoãn nợ	() to put off paying a debt.
hoãn nợ	() to delay paying a debt.
hoãn nợ	() (luật) moratory.
hoãn quân dịch	(đtừ) defer.
hoãn quân địch	(dtừ) deferment.
hoãn thi hành	() to postpone implementation/execution.
hoãn thi hành một bản án	(ngđtừ) reprieve.
hoãn thi hành một bản án tử hình	(dtừ) reprieve.
hoãn xung	() (cơ học.
hoãn xung	() cơ khi') deaden a shock, act as a buffer.
hoạ	() catastrophe.
hoạ	() disaster.
hoạ	() misfortune.
hoạ	() to paint.
hoạ	() to draw.
hoạ	() to answer (someone's poem) with another using the same rhyme and meter.
hoạ	() to perform in unison.
hoạ	() to respond.
hoạ	(dtừ) depiction.
hoạ bàn tác xạ	() firing chart.
hoạ bất kỳ	() knock out blow.
hoạ cảo	() sketch.
hoạ căn	() seeds of misfortune.
hoạ chăng	() except that....
hoạ chăng	() unless.
hoạ chiến tranh	() the scourge of war, war.
hoạ công	() limner.
hoạ cụ	() plotter.
hoạ đàn	() play instruments together.
hoạ đạc	() survey.
hoạ đồ	() plan.
hoạ đồ	() map.
hoạ đồ đạn đạo	() trajectory diagram.
hoạ đồ địa hình	() topographic survey, survey.
hoạ đồ hàng hải	() marine chart.
hoạ đồ hàng không	() aerial survey.
hoạ đồ hệ thống dây	() line route map.
hoạ đồ hình nổi	() stereographical chart.
hoạ đồ lộ trình	() route map, road sketch, strip map.
hoạ đồ nghĩa địa	() plot map.
hoạ đồ nổi	() stereographical chart.
hoạ đồ phối hợp	() coordinated fire plan.
hoạ đồ sơ lược	() diagram.
hoạ đồ tam giác lượng	() trigonometrical survey.
hoạ đồ thám thính	() reconnaissance sketch (or map).
hoạ đồ thủy lộ	() survey (diagram).
hoạ đồ tiên liệu	() plan of prearranged fire.
hoạ đồ trắc địa	() geodetic surveying, field control.
hoạ hại	() misfortune.
hoạ hại	() disaster.
hoạ hình	() draw a portrait.
hoạ hình	() descriptive.
hoạ hoạn	() misfortune, disaster.
hoạ học	() drawing (as a subject).
hoạ may	() on the chance that.
hoạ mi	() nightingale.
hoạ mi nâu	() bullfinch.
hoạ phẩm	(dtừ) painting.
hoạ phúc	() misfortune and happiness.
hoạ phúc	() luck and unluck.
hoạ phúc	() weal and woe.
hoạ phúc khôn lường	() it is impossible to predict one's luck.
hoạ phước	() như hoạ phúc.
hoạ sĩ vẽ bảng quảng cáo	() sign-painter.
hoạ sĩ vẽ bằng màu nước	() water-colourist.
hoạ sĩ vẽ bằng sơn dầu	() oil-painter.
hoạ sĩ vẽ cảnh phông	(dtừ) scene-designer.
hoạ sĩ vẽ chân dung	() portrait painter.
hoạ sĩ vẽ chân dung	() portraitist.
hoạ sĩ vẽ tranh châm biếm	() cartoonist.
hoạ sĩ vẽ tranh châm biếm	() caricaturist.
hoạ sĩ vỉa hè	(dtừ) screever, pavement-artist.
hoạ theo	() take up.
hoạ thi	() to respond to a poem by another poem.
hoạ thơ	() như hoạ thi.
hoạ thủy	() source of misfortune.
hoạ trung hữu phúc	(tục ngữ) every cloud has a silver lining.
hoạ trung hữu phúc	(tục ngữ) misfortune has its senses.
hoạ trung hữu phúc	(tục ngữ) no great loss without small gain.
hoạ trung hữu phúc	(tục ngữ) if the sky falls, we shall catch larks.
hoạ tượng	() make a portrait.
hoạ ương	() catastrophe, calamity.
hoạ vần	() to rhyme verses.
hoạ vận	() như hoạ vần.
hoạ viên	(dtừ) tracer.
hoạ viên	(dtừ) draftsman.
hoạ viên	(dtừ) designer.
hoạ vô đơn chí	(hoa vo don chi phuc bat trung lai,tục ngữ) misfortunes never come alone.
hoạ vô đơn chí	(hoa vo don chi phuc bat trung lai,tục ngữ) it never rains but it pours.
hoạ vô đơn chí	(hoa vo don chi phuc bat trung lai,tục ngữ) when it rains, it pours.
hoạ vô đơn chí	(hoa vo don chi phuc bat trung lai,tục ngữ) one damned thing after another.
hoạch đắc	() obtain, acquire.
hoạch định	(đtừ) to form.
hoạch định	(đtừ) to define.
hoạch định	(đtừ) to determine.
hoạch định hoặc tổ chức	(ngđtừ) structure.
hoạch đồ trắc địa	() field control.
hoạch giới	() circumscribe.
hoạch nhất	() be fixed.
hoại	(dtừ) arbotive.
hoại hồng cầu	() hemolysis.
hoại huyết	() (y học) scurvy.
hoại mỹ	() vandalism.
hoại nang	() acnitis.
hoại sản	() bankruptcy.
hoại sinh	(ttừ) saprophile, saprophytic.
hoại thân	() commit self-destruction.
hoại thể	() xem hoại thân.
hoại thư	(dtừ) gangrene.
hoại thư	(dtừ) canker.
hoại thư khô	() dry gangrene.
hoại thư ướt	() moist gangrene.
hoại tử	() (chứng hoại tử) caseation.
hoại tử	() necrosis.
hoại tử	() gangrene.
hoạn	() như thiến.
hoạn bần	() worry about one's being poor.
hoạn đồ	() (từ nghĩa cũ)(cũng nói hoạn lộ) mandarin's career.
hoạn giới	() mandarinate, officialdom.
hoạn hải	() officialdom.
hoạn hoạ	() misfortune.
hoạn khổ	() unhappiness.
hoạn lộ	() (từ nghĩa cũ) như hoạn đồ.
hoạn lợn	() castrate pigs, spay sows.
hoạn môn	() mandarin family.
hoạn nạn	() misfortune.
hoạn nạn mới hiểu bạn bè	() a friend in need is a friend indeed.
hoạn nạn mới hiểu bạn bè	() prosperity makes friends and adversity tries them.
hoạn quan	() (từ nghĩa cũ) eunuch.
hoạnh	() to find fault with someone's work (behaviour...).
hoạnh hoẹ	() như hoạnh.
hoạnh hoẹ	() xem hoạnh.
hoạnh nghịch	() unfair, unjust.
hoạnh phát	() suddenly rise from a low position.
hoạnh tái	() ill-gotten riches, ill-acquired wealth.
hoạnh tài	() ill-gotten gains.
hoạnh tử	() violent death.
hoạt	() quick and fine (nói về chữ viết).
hoạt ảnh	() moving pictures, movies.
hoạt bát	(ttừ) fluent.
hoạt bát	(ttừ) brisk.
hoạt bát	(ttừ) agile.
hoạt bát lại	(ngđtừ) reactivate.
hoạt bát nhanh nhẹn	(dtừ) quicksilver.
hoạt cảnh	() lively scene.
hoạt cảnh	() như hoạt tượng.
hoạt cảnh lịch sử biểu diễn ngoài trời	(dtừ) pageant.
hoạt chất	() (hóa học, dược học) active element.
hoạt cú	() easy/flowing style.
hoạt dịch	() sinovial fluid.
hoạt đầu	((từ nghĩa cũ) opportunist) time-serving.
hoạt độ	() activity.
hoạt động	() to run.
hoạt động	() to operate.
hoạt động	() activities.
hoạt động	() operations.
hoạt động chính trị	(dtừ) politics.
hoạt động của động vật	(dtừ) animalism.
hoạt động của hướng đạo sinh	(dtừ) scoutcraft.
hoạt động của máy tính	(dtừ) computing.
hoạt động của não	(dtừ) cerebration.
hoạt động độc lập	(ttừ) off-line.
hoạt động giải trí	() recreational activities.
hoạt động giải trí	() leisure activities.
hoạt động giữa các thành phố	(ttừ) inter-city.
hoạt động kinh doanh	() business activities/operations.
hoạt động kinh doanh	() merchandising.
hoạt động lại	(dtừ) revivification.
hoạt động lại	(ngđtừ) revivify.
hoạt động lên	(ngđtừ) brisk, smarten.
hoạt động lên	(nđtừ) liven.
hoạt động lên	(thngữ) to juice up, to bestir oneself, to look sharp.
hoạt động mạnh	(nđtừ) hum.
hoạt động mạnh	(ttừ) humming.
hoạt động mạnh mẽ	(nđtừ) energize.
hoạt động ở bờ biển	(ttừ) longshore.
hoạt động phản gián	(dtừ) counter-espionage.
hoạt động quay cuồng	(dtừ) whirl.
hoạt động rất tốt	(thngữ) go, etc like a dream.
hoạt động sôi nổi	(phó từ) animato.
hoạt động sôi nổi	(ttừ, phó từ) afloat.
hoạt động sôi nổi và ồn ào	(dtừ) bustle.
hoạt động tích cực	(dtừ) energy.
hoạt động tích cực	(thngữ) to carry the ball.
hoạt động tình báo	(dtừ) espionage.
hoạt động tình dục trước khi giao hợp	(dtừ) foreplay.
hoạt động trong đó	(dtừ) aerospace.
hoạt động trong ngành tài chính	(nđtừ) financier.
hoạt hình	() xem phim hoạt hình.
hoạt hoạ	() xem phim hoạt hình.
hoạt hóa	() to activate.
hoạt kê	() humour.
hoạt kê	() humoristic, humorous, comic.
hoạt kế	() livelihood.
hoạt khẩu	() (ít dùng) have the gift of the gab, be voluble.
hoạt khúc	() gay dance or song.
hoạt kịch	() short comedy, sketch.
hoạt lực	() (từ nghĩa cũ) vitality.
hoạt nghiệm cơ	() stroboscope.
hoạt nghiệm phát	() stroboscopy.
hoạt ngữ	() living language, modern tongue.
hoạt nộm	() puppet.
hoạt pháp	() stroboscopy.
hoạt phát	() active, lively.
hoạt phật	() living buddha.
hoạt tặc	() deceitful.
hoạt thạch	() (từ nghĩa cũ) talc.
hoạt thủy	() running water.
hoạt tinh	() have a quick ejaculation.
hoạt tính	() active.
hoạt tràng	() (y học) laxative.
hoạt trạch	() smooth, slippery.
hoạt tượng	() như hoạt cảnh.
hoạt tự	() (printing) movable type.
hoăng	() pervading (nói về mùi hôi thối).
hoăng hoắc	() xem hoắc (láy).
hoắc	(phó từ) very.
hoắc hương	() (thực, dược học) patchouli.
hoắc lê	((từ-nghĩa cũ) văn chương) vegetable.
hoắc lê	((từ-nghĩa cũ) simple dish, frugal fare.
hoắc loạn	() (từ nghĩa cũ) cholera.
hoắm	() sunken, deep.
hoắm vào	(nđtừ) sink.
hoắt	() (nhọn hoắt) very pointed.
hoằng	() vast, immense.
hoằng đại	() great, grandiose.
hoằng pháp	() propagation of faith (buddhism).
hoằng viễn	() immense.
hoằng vĩ	() great, grandiose.
hoẵng	() muntjac.
hoẵng cái	(dtừ) doe.
hoẵng đực	(dtừ) buck, roebuck.
hoẵng non	(dtừ) pricket.
hoặc	() or.
hoặc	() either.
hoặc giả	() perhaps.
hoặc giả	() or.
hoặc là	() or, either.
hoặc nghiện rượu	(ttừ) bibulous.
hocmon	(dtừ) incretion.
hocmon động dục	(dtừ) oestrin.
hocmon động dục nữ	(dtừ) oestrogen.
hocmon nam	(dtừ) androgen.
hoe	() reddish.
hoe	() hoe hoe (láy, ý giảm).
hoe hoe	() xem hoe (láy).
hoe hoe vàng	(ttừ) fairish.
hoen	() spotted, stained.
hoen gỉ	() stained and rusty.
hoen ố	() spotted.
hoen ố	() smeared.
hoen ố	() stained.
hoen quẹn	() stained.
hoét	() right (red).
hoét	() ird) thrush, blackbird.
hoét	() turdus.
hoè	(dtừ) sophora japonica.
hoẹt	() untrust worthy, unreliable.
hoi	() smelly (like mutton, beef fat...).
hoi	() hoi hoi (láy, ý giảm).
hoi hoi	() xem hoi (láy).
hoi hóp	(ttừ) weakly.
hoi sữa	() mill-smelling breathed (nói về trẻ nhỏ).
hoi sữa	() greenhorn, spring chicken (mỹ).
hom	() creel's lid.
hom	() bamboo frame (of paper animals...).
hom	() beard (on one end of a rice seed).
hom	() fibre (of areca-nut).
hom	() small bone (of fish).
hom	() cutting (of a cassave plant, a mulberry).
hom cá	() fish bone.
hom hem	() wasted, decrepit.
hom hỏm	() xem hỏm (láy).
hom lúa	() beard of rice.
hom quạt	() the frame of a fan.
hon hỏn	() xem hỏn (láy).
hong	(đtừ) to air.
hong	(đtừ) to give an airing.
hong	(đtừ) to sun.
hong	(đtừ) to dry.
hong gió	(dtừ) airing.
hong hóng	() xem hóng (láy).
hong khô	(dtừ) airing.
honmi	(dtừ) holmium.
hoocmon tuyến yên	(ttừ) pituitrin.
hoóc môn	() hormone.
hoóc môn tăng trưởng của con người	() human growth hormone.
hó hé	() địa phương.
hó hé	() như ho he.
hóa	() xem hóa học.
hóa	() ize.
hóa	() -fy.
hóa	(đtừ) to become.
hóa	(đtừ) to change.
hóa	(đtừ) to transform.
hóa áp	(dtừ) piezochemistry.
hóa chất	() chemical substance.
hóa chất	() chemical.
hóa chất chống đông	(dtừ) antifreeze.
hóa chì	(dtừ) plummet.
hóa chua	(ttừ) acescent.
hóa công	() the creator.
hóa cứng	(dtừ) sclerosis.
hóa cứng	(nđtừ) stiffen.
hóa dại	() to go crazy/mad, to be as mad as a hatter/a march hare, to lose one's senses.
hóa dầu	() petrochemistry.
hóa dầu	() petrochemical.
hóa dược	() pharmaceutical chemistry.
hóa đá	() to turn into stone.
hóa đá	() to petrify.
hóa đá	() to fossilize.
hóa đặc	(dtừ) condensability, condensation.
hóa đặc	(đtừ) condense.
hóa đặc	(ttừ) condensable.
hóa đần	(nđtừ) hebetate.
hóa điên	() xem hóa dại.
hóa điên hóa rồ	() xem hóa điên.
hóa đơn	() bill.
hóa đơn	() check.
hóa đơn	() invoice.
hóa đơn chi tiết	() detailed/itemized invoice.
hóa đơn chính thức	() final invoice.
hóa đơn điện thoại	() phone/telephone bill.
hóa đơn được nhận thanh toán	(dtừ) acceptance.
hóa đơn giả mạo	() faked/forged/false invoice.
hóa đơn gốc	() original invoice.
hóa đơn ngắn kỳ	(dtừ) short bill.
hóa đơn nhà hàng	() restaurant bill.
hóa đơn tạm	() pro forma invoice.
hóa đơn thương mại	() commercial invoice.
hóa đơn tiền điện	() electricity bill.
hóa đơn vận chuyển	(thngữ) bill of lading.
hóa đường	(dtừ) saccharification.
hóa đực	(ttừ) virilescent.
hóa ête	(dtừ) etherification.
hóa ête	(ngđtừ) etherify, etherise.
hóa giá	() to price.
hóa già	(dtừ) ageing.
hóa giấm	(dtừ) acetification.
hóa gỗ	(dtừ) lignification.
hóa gỗ	(nđtừ) lignify.
hóa học	() chemistry.
hóa học	() chemical.
hóa học cao nhiệt	() pyrochemistry.
hóa học chất keo	() colloidal chemistry.
hóa học động vật	() zoochemistry.
hóa học hạt nhân	() nuclear chemistry.
hóa học hữu cơ	() organic chemistry.
hóa học lập thể	() stereochemistry.
hóa học phóng xạ	(dtừ) radiochemistry.
hóa học tinh thể	() crystal chemistry.
hóa học tinh thể	() crystallochemistry.
