ka ki	() khaki.
không làm tròn	(ngđtừ) omit.
không làm tròn bổn phận	(nđtừ) sugar.
không làm tròn nhiệm vụ	(dtừ) dereliction.
không làm tuyệt giống được	(dtừ) inextirpableness.
không làm tuyệt giống được	(ttừ) inextirpable.
không làm việc	(dtừ) inoperativeness.
không làm việc	(nđtừ) play.
không làm việc	(ttừ) inoperative, workless.
không làm việc cả ngày	(dtừ) short time.
không làm việc cả tuần	(dtừ) short time.
không làm việc gì	(ttừ) idle.
không làm việc nữa	(thngữ) out of action.
không làm vui lòng	(ttừ) unpleasing, uncomplimentary.
không làm vừa lòng	(ttừ) unsatisfactory, unsatisfying.
không làm vừa ý	(dtừ) unpleasingness.
không làm vừa ý	(ttừ) unpleasing, unsatisfactory.
không lành	(dtừ) unwholesomeness.
không lành	(ttừ) unwholesome.
không lành mạnh	(dtừ) unwholesomeness, morbidness, unsoundness.
không lành mạnh	(ttừ) unwholesome, unsound, morbid.
không lành nghề	(dtừ) amateurishness.
không lành nghề	(ttừ) amateurish.
không lãi	(phó từ) out of pocket.
không lạc hậu so với	(thngữ) to keep abreast of (with).
không lắp	(ttừ) unmounted.
không lâu	(ttừ) momentary, unretentive.
không lâu bền	(dtừ) impermanence.
không lâu bền	(ttừ) undurable, impermanent.
không lâu nữa	(phó từ) shortly.
không lây	(ttừ) non-contagious.
không lấp đầy	(ttừ) unfilled.
không lấy lãi	(thngữ) housing association.
không lấy tiền	(dtừ) gratuitousness.
không lấy tiền	(ttừ) gratuitous.
không lấy tiền	(ttừ, phó từ) gratis.
không lẫn vào	(ttừ) unmingled.
không lập gia đình	(dtừ) celibacy.
không lập gia đình	(ttừ) celibate.
không lật lại	(ttừ) unturned.
không lẽ	() it doesn't make sense if....
không lên dây bằng chìa	(ttừ) keyless.
không lên men	(ttừ) unfermented.
không lễ độ	(ttừ) ungenteel.
không lệ thuộc	(dtừ) detachedness.
không lệ thuộc	(phó từ) independently.
không lệ thuộc	(ttừ) independent, detached.
không lệch đường	(ttừ) swerveless.
không lệch ra ngoài	(ttừ) swerveless.
không liên hợp	(dtừ) inconsecutiveness.
không liên hợp	(ttừ) inconsecutive.
không liên kết	() xem phi liên kết.
không liên lạc được với nhau	(ttừ) incommunicado.
không liên quan	(dtừ) irrelativeness.
không liên quan	(ttừ) irrelative, irrelevant.
không liên quan đến	(dtừ) extraneousness.
không liên quan đến	(ttừ) extraneous.
không liên quan đến riêng ai	(ttừ) impersonal.
không liên quan đến tôn giáo	(ttừ) unreligious.
không liên tục	(dtừ) discontinuous, inconsecutiveness, discontinuity.
không liên tục	(phó từ) brokenly.
không liên tục	(ttừ) inconsecutive, uncontinuous.
không liều lĩnh	(ttừ) unadventurous.
không liệu trước	(ttừ) unprovided.
không linh thiêng	(dtừ) unholiness.
không linh thiêng	(ttừ) unholy.
không líu lưỡi nữa	(thngữ) to loose someone's tongue.
không lĩnh hội	(dtừ) indigestion.
không lĩnh hội được	(dtừ) inapprehension, inapprehensiveness.
không lĩnh hội được	(ttừ) inapprehensive.
không lịch sự	(dtừ) impropriety, inurbanity.
không lịch sự	(ttừ) uncourteous, unrefined, improper, uncivil, ungenteel, inurbane, ungentlemanly, dowdy.
không lịch thiệp	(ttừ) tactless.
không lo âu	(ttừ) undisturbed.
không lo lắng	(dtừ) easiness, unconcern, recklessness.
không lo lắng	(ttừ) unheeding, reckless, easy, unpreoccupied, thoughtless, comfortable, unsolicitous, unconcerned.
không lo lắng tới	(dtừ) mindlessness.
không lo lắng tới	(ttừ) mindless.
không lo nghĩ	(dtừ) insouciance.
không lo nghĩ	(ttừ) fancy-free, careless, undistressed, insouciant.
không lo sợ	(ttừ) unalarmed, unperturbed.
không lo xa	(ttừ) unforeseeing.
không lót gối	(ttừ) uncushioned.
không lòe loẹt	(ttừ) soft, sober.
không lỏng	(ttừ) illiquid.
không lọc	(ttừ) unfiltered, unstrained.
không lôgic	(dtừ) inconsequence.
không lôgic	(ttừ) inconsequent, inconsequential.
không lôgíc	(dtừ) illogicality.
không lôgíc	(ttừ) illogical.
không lôi cuốn	(ttừ) uninviting, unattractive.
không lối thoát	(dtừ) dead end.
không lồ lộ	(dtừ) inconspicuousness.
không lồ lộ	(ttừ) inconspicuous.
không lỗi	(ttừ) clean.
không lộ	(ttừ) undisclosed.
không lộ ra	(ttừ) unapparent.
không lội qua được	(ttừ) unfordable.
không lộn lại	(ttừ) unreversed.
không lộn ngược	(ttừ) unreversed.
không lộng lẫy	(ttừ) unprincely.
không lột	(ttừ) unshed.
không lớn	(ttừ) undeveloped.
không lời	() xem tranh không lời.
không lời	() 'no caption'.
không lợi cho	(ttừ) ill-disposed.
không lợi dụng được chiều gió	(thngữ) to miss stays.
không lợi lộc	(dtừ) thanklessness.
không lợi lộc gì	(ttừ) thankless, lean.
không lợi về mặt trồng trọt	(dtừ) unthriftiness.
không lợp rạ	(ttừ) unthatched.
không lợp tranh	(ttừ) unthatched.
không lung lay	(ttừ) unfaltering, unwavering.
không luống cuống	(ttừ) undisconcerted.
không luồn cúi	(ttừ) unsupple.
không luộc	(ttừ) unannealed.
không luyện tập	(ttừ) undeveloped.
không lúc nào rời nhau	(thngữ) to hunt (go, run) in couples.
không lúng túng	(ttừ) unembarrassed, undisconcerted, undiscomfited.
không lùi bước	(ttừ) unshrinking.
không lương	() unpaid.
không lương	() unsalaried.
không lương	() honorary.
không lương	() voluntary.
không lương thiện	(dtừ) dishonesty, unsoundness, unrighteousness.
không lương thiện	(ttừ) unrighteous, dishonest, unsound.
không lường được	(dtừ) measurelessness.
không lường được	(ttừ) measureless.
không lường trước được	(dtừ) incalculability.
không lường trước được	(ttừ) incalculable.
không lưỡng lự	(thngữ) without demur.
không lưỡng lự	(ttừ) unhesitating.
không lưu	() air traffic.
không lưu tâm	(dtừ) mindlessness.
không lưu tâm	(ttừ) inattentive, mindless.
không lưu tâm đến	(ttừ) unmindful.
không lưu trú	(ttừ) non-resident.
không lưu ý	(dtừ) heedlessness.
không lưu ý	(ttừ) careless, heedless.
không lựa chọn	(ttừ) unselect.
không lực	() xem không quân.
không lực chiến lược	() strategic air command.
không lực chiến thuật	() tactical air command.
không lực đặc nhiệm	() air task force.
không ly dị	(ttừ) undivorced.
không lý	() air mile.
không lý thú	(dtừ) incuriosity.
không lý thú	(ttừ) incurious.
không lý thú gì	(ttừ) pedestrian.
không lý tưởng	(ttừ) unideal.
không mang	(ttừ) abranchial.
không mang công việc mắc nợ	(thngữ) to pay one's way.
không mang đi được	(ttừ) stationary.
không mang được	(ttừ) unwearable.
không mang găng	(ttừ) ungloved.
không mang kiếm	(ttừ) swordless.
không may	() unlucky.
không may	() unhappy.
không may	() unfortunate.
không may chút nào	(thngữ) a fat chance.
không mái	(ttừ) hypaethral.
không máy móc	(ttừ) unmechanical.
không mài nhẵn	(ttừ) incult.
không màng	() not to be interested in somebody/something.
không màng	() to feel no interest in somebody/something.
không màng	() to make light of something.
không màng	() to think nothing of something.
không màng đến	(ttừ) dead.
không màng đến việc gia đình	(ttừ) undomesticated.
không màu	() colorless.
không màu mè	(dtừ) inartificiality, homeliness, unaffectedness.
không màu mè	(phó từ) baldly.
không màu mè	(ttừ) homely, natural, unaffected, inartificial.
không màu mỡ	(dtừ) infertility, unfruitfulness.
không màu mỡ	(ttừ) infertile, unfruitful.
không màu sắc	(ttừ) uncoloured, white, colourless.
không mảy may bận tâm gì đến	(thngữ) not to care a jack-straw.
không mạ	(ttừ) unplated.
không mạ điện	(ttừ) ungalvanized.
không mạ thiếc	(ttừ) unwhitened.
không mạ vàng	(ngđtừ) ungild.
không mạch lạc	(dtừ) desultoriness, incoherence, discursiveness, incoherentness.
không mạch lạc	(ttừ) abrupt, wandering, incoherent, unco-ordinated, desultory, unconnected.
không mạnh mẽ	(phó từ) unemphatically.
không mạnh mẽ	(ttừ) unemphatic.
không mạo hiểm	(ttừ) unadventurous.
không mắc bận	(dtừ) inoccupation.
không mắc bận	(ttừ) disengaged.
không mắc lỗi	(ttừ) faultless.
không mắc lừa	(ttừ) undeceived.
không mắc nợ ai	(ttừ, phó từ) afloat.
không mắc phải	(đtừ) resist.
không mắm muối	(ttừ) unseasoned.
không mắng mỏ	(ttừ) unreproachful.
không mặc áo giáp	(ttừ) unarmoured.
không mặc áo quần	(ttừ) unclad.
không mặc áo sơ mi	(ttừ) shirtless.
không mặc được	(ttừ) unwearable.
không mặc quần áo	(ttừ) unclothed, unapparelled, unattired.
không mặc yếm nịt	(ttừ) stayless.
không mặn	(ttừ) fresh.
không mặn mà	(ttừ) washy, cool.
không mâu thuẫn	(dtừ) reconcilability.
không mâu thuẫn	(ttừ) reconcilable.
không mây	() cloudless.
không mất cước	(ttừ) uncharged.
không mất hiệu lực	(ttừ) unvitiated.
không mất tiền	() xem miễn phí.
không mất tiền thuê	(ttừ, phó từ) rent-free.
không mất tinh thần	(ttừ) unquailing.
không mất trí	(thngữ) all there.
không mấy	() not much.
không méo ảnh	(ttừ) orthoscopic.
không mến khách	(dtừ) inhospitableness.
không mến khách	(ttừ) unhospitable, inhospitable.
không mềm	(ttừ) unpliable.
không mềm dẻo	(dtừ) inelasticity.
không mềm dẻo	(ttừ) inelastic, unpliable.
không mềm mỏng	(dtừ) angularity.
không mềm mỏng	(ttừ) unsupple, angular.
không mệt	(ttừ) unweary, fatigueless, untired.
không mệt lử	(ttừ) unexhausted.
không mệt mỏi	(dtừ) inexhaustibility.
không mệt mỏi	(ttừ) tireless, inexhaustible, unresting, weariless, unflagging, unwearying, untiring, untired, unwearied, unweary.
không mệt nhọc	(ttừ) untiring.
không mi	(ttừ) lidless.
không miêu tả	(ttừ) unrepresentative.
không miễn cưỡng	(dtừ) cheerfulness.
không miễn cưỡng	(ttừ) cheerful.
không minh bạch	(dtừ) mistiness, darkness.
không minh bạch	(phó từ) darkly.
không minh bạch	(ttừ) dark, unexplicit, unclear, misty.
không minh họa	(ttừ) unillustrated.
không minh mẫn	(ttừ) blear.
không mịn	(ttừ) coarse.
không mong chờ	(ttừ) inexpectant.
không mong đợi	(ttừ) unexpected.
không mong ước	(ttừ) unhoped-for, unwished-for.
không mó đến	(ttừ) untouched.
không móc được của ai cái gì	(thngữ) to get no change out of somebody.
không mỏi	(ttừ) unweary.
không môn đăng hộ đối	(dtừ) mesalliance.
không môn đăng hộ đối	(ttừ) morganatic.
không mồ mả	(ttừ) graveless.
không mổ được	() inoperable.
không mộng mị	(ttừ) dreamless.
không một ai	() xem không có ai.
không một cái gì	(dtừ) nix.
không một chút nào	(phó từ) nohow, nowise.
không một chút nào	(thngữ) not a pennyworth, not in the least, nothing at all, not half, like fun, not a snap.
không một đồng xu dính túi	(thngữ) to be on the rocks.
không một đồng xu dính túi	(ttừ) penniless.
không một lời nào là đúng sự thật	(thngữ) out of the whole cloth.
không một nấm mồ	(ttừ) graveless.
không một tí gì	(thngữ) nothing at all.
không một tí gì ràng buộc	(thngữ) clean slate.
không một tí nào	(thngữ) not in the least, not a snap, deuce a bit, not a bit, not a pennyworth.
không một xu dính túi	(thngữ) to be broken to the wide.
không một xu dính túi	(ttừ) stone-broke, stony, moneyless.
không mơ hồ	(ttừ) unambiguous.
không mơ thấy nổi	() unimaginable.
không mơ thấy nổi	() undreamed-of.
không mơ tưởng đến	(ttừ) undreamed-of.
không mời mà đến	() to turn up uninvited/like a bad penny.
không mời mà đến	() to come uninvited.
không mời mà đến	() to gatecrash.
không mở	(ttừ) unbroached, unopened.
không mở mang	(ttừ) undeveloped.
không mở mang trí tuệ	(ttừ) undeveloped.
không muốn	(dtừ) aversion, inappetence, indisposition.
không muốn	(ngđtừ) hate.
không muốn	(ttừ) averse, indisposed, undesirous.
không muốn chấp nhận tư tưởng mới	(ttừ) closed.
không muốn mở miệng nữa	(thngữ) to have a bone in one's throat.
không mùi	() odorless.
không mùi gì khi đem so sánh với	(thngữ) not a patch on.
không mùi vị	(ttừ) unflavoured.
không mủi lòng	(dtừ) impassibility, inexorability.
không mủi lòng	(ttừ) unmelted, inexorable, unmoved, impassible.
không mục đích	(ttừ) aimless, wanton.
không mường tượng được	(dtừ) incogitability.
không mường tượng được	(ttừ) incogitable.
không mỹ	(ttừ) un-american.
không mỹ thuật	(dtừ) inartificiality.
không mỹ thuật	(ttừ) inartistic, inartificial, unartistic.
không nao núng	(thngữ) stiff upper lip, not to turn a hair.
không nao núng	(thngữ) without turning a hair.
không nao núng	(ttừ) unwavering, unabashed, unflinching, undeterred, unbroken, relentless, unfaltering, unflagging, unappalled, undismayed.
không nản chí	(thngữ) keep your chin up!.
không nản chí	(ttừ) undiscouraged.
không nản lòng	(ttừ) undiscouraged.
không nản lòng trong lúc khó khăn	(thngữ) to make the best of it (of a bad bargain, of a bad business, of a bad job).
không nảy	(ttừ) slow.
không nảy nở nhiều	(ttừ) unprolific.
không nạm	(ttừ) unset.
không nạp chì	(ttừ) blank.
không nạp đạn	(ttừ) uncharged.
không nắm chính quyền	(phó từ) out.
không nắm được	(dtừ) inapprehension.
không nắm được	(thngữ) out of hand.
không nắp	(ttừ) lidless.
không nặng	(ttừ) weightless.
không nặng nề	(ttừ) light-weight.
không nén được	(dtừ) uncontrollableness.
không nén được	(ttừ) incoercible, uncontrollable, unsuppressed, incompressible.
không nén lại	(ttừ) untamed, uncurbed.
không nẻ	(dtừ) indehiscence.
không nẻ	(ttừ) indehiscent.
không nên	() should not.
không nên	() ought not.
không nên	() had better not.
không nên dẫn ra	(ttừ) unquotable.
không nên không phải	() (cư xử không nên không phải) to behave badly.
không nên không phải	() to misbehave.
không nên làm	(ttừ) unadvisable.
không nên nói đến	(dtừ) unmentionable.
không nên nói đến	(ttừ) unmentionable.
không nên nói nước đôi như vậy	(thngữ) don't be so cagey.
không nên thả mồi bắt bóng	(thngữ) a bird in the hand is worth two in the bush.
không nên thơ	(dtừ) unpoeticalness.
không nên thơ	(ttừ) unpoetic.
không nên trông mặt mà bắt hình dong	(thngữ) one must not hang a man by his looks.
không nên trông mặt mà bắt hình dong	(thngữ) do not judge a man by his looks.
